initials,todays_date,mouse_id,sex,strain,genotype,bd,sac_date,disposition_notes,treatment,date_of_first_treatment,treatment_duration,injection_date,virus_1,virus_2,virus_3,evidence_of_tumor,date_tumor_reported,dox_tx,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,age_at_sac,drug_treatment,reason_for_sac,start_of_treatment,treatment_length,rcas_injection,injection_route,age_at_tumor_onset,todays_date_original,sac_date_original,injection_date_original,date_tumor_reported_original
TT,2023-05-01,33993-00,F,All Alleles,All Alleles,2023-03-06,2023-05-01,"Large tumor, slow moving; The tumor consisted of one large tumor and several smaller tumors underneath; Lungs and brain looked normal",,,,,RCAS-Cre,,,Yes,,No,"Tumor lungs, brain, liver",,Yes,,,,,56,,,,,Yes,Near ear,,45047,45047,,
TT,2023-05-01,33995-10,F,All Alleles,All Alleles,2023-03-22,2023-05-01,"Breathing very rapidly and dramatically, slow moving, no tumor_TVA Negative; No tumor. Lungs had massive nodules, brain very bloody",,,,,RCAS-Cre,,,Yes,,No,"Tumor, lungs, brain, liver",,Yes,,,,,40,,,,,Yes,Near ear,,45047,45047,,
TT,2023-05-01,34147-01,F,All Alleles,All Alleles,2023-03-22,2023-05-01,"Small tumor, mouse was walking around in circles with head tilted, scruffy fur; There was tumor(?) inside the cranial cavity but outside the brain, collected; The lungs looked terrible, inflated, definitely something growing inside",,,,,RCAS-Cre,RCAS-NCAM,,Yes,,No,"Tumor, extracranial tumor, lungs, brain, liver",,Yes,,,,,40,,,,,Yes,Near ear,,45047,45047,,
MF,2023-04-24,33994-01,F,All Alleles,TVA Tg/+,2023-03-06,2023-04-24,"The mouse was sacked for tumor burden. Large tumor developing over and in the right ear.; Blood between the tumor and the skull, tumor contained some fluid, skull was frail. Lungs and Liver appeared normal.",,,,2023-03-08,RCAS Cre,,,Yes,2023-04-10,No,"Brain, Liver, Lungs, T1",,Yes,,,,,49,,,,,Yes,Subcutaneous behind the ear,,45040,45040,44993,45026
KC,2023-04-21,33788-01,M,DCT-TVA::Ptenf/f;Brafca/ca,DCT-TVA::Ptenf/f;Brafca/ca,2023-02-12,2023-04-17,"Sac'd for tumor size, sporatic movements; Had primary tumor growing between ears, tumor had started eating away at the skull and going into the brain. Lungs and liver appeared normal",,,,,RCAS Cre 2/14/23,,,Yes,2023-04-06,No,,,Yes,,,,,64,,,,,Yes,Subcutaneous behind ear,,45037,45033,,45022
KC,2023-04-21,34029-01,F,All Alleles + Cas9f/f,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/f,2023-03-09,2023-04-21,"Sac'd for tumor size, not moving well; Had primary tumor growing between ears and under neck, also had a secondary tumor growing behind right front limb. Underneath brain there appeared to be a small mass, some small lung nodules",,,,,RCAS Cre 3/10/23,,,Yes,2023-04-19,No,,,Yes,,,,,43,,,,,Yes,Subcutaneous behind ear,,45037,45037,,45035
KC,2023-04-15,33996-00,M,All Alleles,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,2023-03-06,2023-04-15,"Not moving, weight loss, labored breathing, no evidence of primary tumor; No primary tumor seen, brain and liver appeared normal, large lung nodules and masses",,,,2023-03-08,DF-1 RCAS Cre,,,No,,No,,,Yes,,,,,40,,,,,Yes,Subcutaneous behind ear,,45031,45031,44993,
KC,2023-04-15,33997-01,M,All Alleles,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,2023-03-06,2023-04-15,"Not moving, weight loss, labored breathing, no evidence of primary tumor; No primary tumor seen, brain and liver appeared normal, large lung nodules and masses",,,,2023-03-08,DF-1 RCAS Cre,,,No,,No,,,Yes,,,,,40,,,,,Yes,Subcutaneous behind ear,,45031,45031,44993,
KC,2023-04-15,34030-10,F,All Alleles + cas9f/f,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/f/,2023-03-09,2023-04-14,"Sac'd for tumor size, not moving and laying on side; Large primary tumor that had begun to invade the skull, brain appeared normal, as did liver. Small lung nodules found",,,,2023-03-10,DF-1 RCAS Cre,,,Yes,2023-04-09,No,,,Yes,,,,,36,,,,,Yes,Subcutaneous behind ear,,45031,45030,44995,45025
KC,2023-04-13,34028-00,F,All Alleles + Cas9f/f,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/f,2023-03-09,2023-04-13,"Sac'd for tumor size; Tumor was growing outside of skull but surrounded skull, brain, lungs, liver appeared normal upon necropsy, some tumor collected if RPPA needs to be done",,,,,RCAS Cre KC 3/10/23,,,Yes,2023-04-03,No,,,Yes,,,,,35,,,,,Yes,Subcutaneous behind ear,,45029,45029,,45019
CMM,2023-04-12,33454-01,M,GFP,GFP,2023-01-17,2023-04-12,"Scruffy, tumor is larger than 2,000mm^3.; Tumor was larger than 2,000mm^3",,,,,,,,Yes,,No,,,Yes,,,,,85,,,,,No,,,45028,45028,,
CMM,2023-04-12,33603-00,M,GFP,GFP,2023-01-30,2023-04-12,"Scruffy, tumor is larger than 2,000mm^3.; Tumor was larger than 2,000mm^3",,,,,,,,Yes,,No,,,Yes,,,,,72,,,,,No,,,45028,45028,,
CMM,2023-04-12,33604-01,M,GFP,GFP,2023-01-30,2023-04-07,"Scruffy, lost more than 20% of its weight since start of treatment. Medium sized tumor.",,,,,,,,Yes,,No,,,Yes,,,,,67,,,,,No,,,45028,45023,,
KC,2023-04-09,33815-10,M,DCT-TVA::Ptenf/f;Brafca/ca,DCT-TVA::Ptenf/f;Brafca/ca,2023-02-14,2023-04-09,"Head tilt, not moving well, no evidence of tumor; Upon necropsy, nothing about the organs looked grossly abnormal, there was no evident primary tumor",,,,2023-02-14,DF-1 RCAS Cre,,,No,,No,,,Yes,,,,,54,,,,,Yes,Subcutaneous behind ear,,45025,45025,44971,
CMM,2023-04-04,33524-00,F,GFP,GFP,2023-01-23,2023-04-03,"Tumor growth, in relatively good health.; This mouse was sac'd for a pharmacodynamics experiment",,,,,,,,Yes,2023-03-18,No,,,Yes,,,,,70,,,,,No,,,45020,45019,,45003
CMM,2023-04-04,33526-03,F,GFP,GFP,2023-01-23,2023-04-03,"Tumor growth exceeded 2,000 mm^3; This mouse was sac'd because it reached an experimental endpoint.",,,,,,,,Yes,2023-03-18,No,,,Yes,,,,,70,,,,,No,,,45020,45019,,45003
CMM,2023-04-04,33644-30,F,GFP,GFP,2023-02-02,2023-04-03,Mouse had lost at least 20% of it's weight since starting dosing.; This mouse was sac'd because it reached an experimental endpoint.,,,,,,,,Yes,2023-03-18,No,,,Yes,,,,,60,,,,,No,,,45020,45019,,45003
CMM,2023-03-22,32203-30,M,GFP,GFP,2022-10-12,2023-03-22,Scruffy. Hunched. Breathing hard. Tumor invading over skull towards eyes. Left eye is closed due to tumor invasion.; This mouse was extremely sick. Tumor was found to have invaded the brain through the back of the skull. This mouse was treated with Paxalisib(10mg/kg)+Binimetinib(25mg/kg)+Encorafenib(20mg/kg).,,,,,,,,Yes,2022-12-12,No,,,Yes,,,,,161,,,,,No,,,45007,45007,,44907
CMM,2023-03-20,32200-01,F,GFP,GFP,2022-10-12,2023-03-20,Scruffy. Not moving. Hunched. Breathing hard. Tumor invading over skull towards eyes.; This mouse was extremely sick. Tumor was found to have invaded the brain through the back of the skull. This mouse was treated with Paxalisib(10mg/kg)+Binimetinib(25mg/kg)+Encorafenib(20mg/kg).,,,,,,,,Yes,2022-12-12,No,,,Yes,,,,,159,,,,,No,,,45005,45005,,44907
CMM,2023-03-20,32260-10,F,GFP,GFP,2022-10-15,2023-03-20,"Large tumor behind and above right shoulder blade. Scruffy and losing weight.; Tumor got too large. Tumor, Brain, Lung, and Liver were collected. A cell line is attempting to be made from this tumor. Treated with Binimetinib (25mg/kg)+Encorafenib(20mg/kg)",,,,,,,,Yes,2022-12-12,No,,,Yes,,,,,156,,,,,No,,,45005,45005,,44907
KC,2023-03-08,32735-10,M,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,2022-11-25,2023-03-08,"Tumor on back of neck and top of head, not opening left eye; Tumor was growing from back of neck up to eye, it did not penetrate the skull. Brain, lungs, and liver appeared normal",,,,,,,,Yes,2023-02-01,No,,,Yes,,,,,103,,,,,No,,,44993,44993,,44958
CMM,2023-03-01,32261-30,F,GFP,GFP,2022-10-15,2023-02-22,Large ulceration at the area of the tumor (skin above the cervical spine); The mouse facility veterinarian requested that this mouse be sacrificed because of the ulceration.,,,,,,,,Yes,2022-12-12,No,,,Yes,,,,,130,,,,,No,,,44986,44979,,44907
KS,2023-03-01,33442-01,F,All Alleles,TVA-,2023-01-17,2023-03-01,"Found dead, but no evidence of distress; no evidence of distress, negative control?",,,,2023-01-19,RCAS-Cre + RCAS-myrAKT1,,,No,,No,,,,,,,,43,,,,,RCAS-Cre + RCAS-myrAKT1,SubQ behind ear,,44986,44986,44945,
KC,2023-02-28,33438-00,M,All Alleles + Cas9f/+,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca;Cas9f/+,2023-01-16,2023-02-28,"Heavy breathing, weight loss, primary tumor on neck, secondary tumor on left hip; Primary and secondary tumor were medium sized, brain and liver appeared normal, lung had many nodules and large masses",,,,2023-01-17,RCAS-Cre + NF1,,,Yes,2023-02-21,No,"T1, T2, Brain, Lung, Liver",,,,,,,43,,,,,RCAS-Cre + NF1,SubQ behind ear,,44985,44985,44943,44978
KS,2023-02-27,33441-00,F,All Alleles,TVA+,2023-01-17,2023-02-27,"hunched, not opening eyes; cut portion of tumor to be used for flow cytometry, small shriveled lungs",,,,2023-01-19,RCAS-Cre,RCAS-myrAKT1,,Yes,2023-02-15,No,"Tumor, brain, liver, lungs",No,Yes,,,,,41,,,,,RCAS-Cre + RCAS-myrAKT1,SubQ behind ear,,44984,44984,44945,44972
KS,2023-02-27,33443-10,F,All Alleles,TVA+,2023-01-17,2023-02-24,"large primary tumor and ulceration, squinting",,,,2023-01-19,RCAS-Cre,RCAS-myrAKT1,,Yes,2023-02-13,No,"Tumor, brain, liver, lungs",No,Yes,,,,,38,,,,,RCAS-Cre + RCAS-myrAKT1,SubQ behind ear,,44984,44981,44945,44970
KS,2023-02-27,33444-11,F,All Alleles,TVA+,2023-01-17,2023-02-23,found dead with fight wounds; found dead with fight wounds,,,,2023-01-19,RCAS-Cre,RCAS-myrAKT1,,No,,No,none,,,,,,,37,,,,,RCAS-Cre + RCAS-myrAKT1,SubQ behind ear,,44984,44980,44945,
KS,2023-02-27,33446-01,M,All Alleles,TVA+,2023-01-17,2023-02-27,found dead with large primary tumor; found dead with large primary tumor,,,,2023-01-19,RCAS-Cre,RCAS-myrAKT1,,Yes,,No,none,,,,,,,41,,,,,RCAS-Cre + RCAS-myrAKT1,SubQ behind ear,,44984,44984,44945,
TT,2023-02-14,33425-00,F,All Alleles,TVA-,2023-01-16,2023-02-14,"found dead; The lungs had numerous nodules growing on it, the thoracic cavity was just completely full of these nodules",,,,2023-01-17,RCAS-Cre,,,No,,No,Lung,No,Yes,,,,,29,,,,,RCAS-Cre,SubQ behind ear,,44971,44971,44943,
CMM,2023-02-06,32204-11,M,GFP,GFP,2022-10-12,2023-02-06,"Lost greater than 20% of its weight. Scruffy. Moves slowly.; The mouse was treated 2 hours before it was sac'd with Triple combination of Paxalisib (10mg/kg), Binimetinib (25mg/kg), and Encorafenib (20mg/kg).",,,,,No,,,No,,,"Brain, Lung, Liver",No,Yes,,,,,117,,,,,,,,44963,44963,,
KC,2023-02-06,33435-00,F,All Alleles,GFP,2023-01-17,2023-02-06,"Head bulge, not moving; Head bulge, frail skull, mushy brain, lungs completely covered in nodules",,,,,Inj. RCAS Cre + NF1 KC 1/17/23,,,Yes,2023-02-01,,"Brain, Lung, Liver",No,Yes,,,,,20,,,,,,,,44963,44963,,44958
KC,2023-02-06,33437-10,F,All Alleles,GFP,2023-01-17,2023-02-06,"Head bulge, not moving; Head bulge, frail skull, mushy brain, lungs completely covered in nodules",,,,,Inj. RCAS Cre + NF1 KC 1/17/23,,,Yes,2023-02-01,,"Brain, Lung, Liver",No,Yes,,,,,20,,,,,,,,44963,44963,,44958
KS,2023-02-06,33445-00,M,All Alleles,TVA neg,2023-01-17,2023-02-13,"head bulge; small brain, liquid underneath the skull; large lung nodules; spleen was darker than usual and slightly shriveled",,,,2023-01-19,RCAS-Cre,RCAS-myrAKT1,,No,,No,"Brain, Lung, Liver",No,Yes,,,,,27,,,,,RCAS-Cre + RCAS-myrAKT1 (KS),SubQ behind ear,,44963,44970,44945,
KS,2023-02-06,33447-10,M,All Alleles,TVA+,2023-01-17,2023-02-10,"head bulge,hunched,squinting; head bulge,hunched,squinting",,,,2023-01-19,RCAS-Cre,RCAS-myrAKT1,,No,,No,"Brain, Lung, Liver",No,Yes,,,,,24,,,,,RCAS-Cre + RCAS-myrAKT1 (KS),SubQ behind ear,,44963,44967,44945,
KC,2023-01-24,32839-00,F,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,GFP,2022-12-02,2023-01-24,"Large tumor over left shoulder, small amount of blood coming out of nose; large blood filled pocket over left shoulder, no notable tumor tissue in this area, frail skull, large and mushy brain, liver and lungs appeared normal",,,,,RCAS Cre GP (12/4/22),,,Yes,2023-01-17,,"Brain, Lung, Liver, Tumor",No,Yes,,,,,53,,,,,,,,44950,44950,,44943
CMM,2023-01-23,32160-30.,F,GFP,GFP,2022-10-10,2023-01-23,"Tumor size larger than 2,000mm^3. Scruffy and not very active.; The mouse was treated (Vehicle alone) 2 hours before IVIS imaging, sac'ing, and necropsy.",,,,,N/A,,,Yes,2022-12-12,,"Brain, Lung, Liver, Tumor",No,Yes,,,,,105,,,,,,,,44949,44949,,44907
CMM,2023-01-16,32161-10,M,GFP,GFP,2022-10-10,2023-01-16,"Tumor size larger than 2,000mm^3. Scruffy and not very active.; The mouse was treated (Paxalisib alone) 2 hours before IVIS imaging, sac'ing, and necropsy.",,,,,N/A,,,Yes,2022-12-12,,"Brain, Lung, Liver, Tumor",No,Yes,,,,,98,,,,,,,,44942,44942,,44907
KC,2023-01-10,31938-00 (wh),F,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-21,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,107,,,,,,,,44936,44932,,
KC,2023-01-10,31944-10 (bl),M,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-21,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,107,,,,,,,,44936,44932,,
KC,2023-01-10,31987-00 (wh),F,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-23,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,105,,,,,,,,44936,44932,,
KC,2023-01-10,31990-11 (wh),F,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-23,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,105,,,,,,,,44936,44932,,
KC,2023-01-10,31991-00 (bl),M,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-23,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,105,,,,,,,,44936,44932,,
KC,2023-01-10,32021-10 (wh),F,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-27,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,101,,,,,,,,44936,44932,,
KC,2023-01-10,32022-30 (wh),F,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-27,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,101,,,,,,,,44936,44932,,
KC,2023-01-10,32023-11 (wh) Red,F,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-27,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,101,,,,,,,,44936,44932,,
KC,2023-01-10,32024-10 (wh),F,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-27,2023-01-06,End date; Brain appeared normal,,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,101,,,,,,,,44936,44932,,
KC,2023-01-09,32736-11,F,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,2022-11-25,2023-01-06,"Large tumor goriwng toward back of head, frantically moving; Tumor was growing on the outside and onto the outer part of the skull",,,,,RCAS Cre GP (11/24/22),,,Yes,2023-01-04,,"Brain, Lung, Liver, Tumor",No,Yes,,,,,42,,,,,,,,44935,44932,,44930
KC,2023-01-09,32737-03,F,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,2022-11-25,2023-01-06,"Head bulge, sporatic movements; No evidence of primary tumor, but brain was enlarged, discoloration on left hemisphere, and large lung nodules",,,,,RCAS Cre GP (11/24/22),,,Yes,2023-01-04,,"Brain, Lung, Liver, Tumor",No,Yes,,,,,42,,,,,,,,44935,44932,,44930
CMM,2023-01-09,32149-01,F,GFP,GFP,2022-10-08,2023-01-06,"Tumor size larger than 2,000mm^3. Scruffy and not very active.; The mouse was treated (vehicle) 2 hours before IVIS imaging, sac'ing, and necropsy.",,,,,N/A,,,Yes,2022-12-12,,"Brain, Lung, Liver, Tumor",No,Yes,,,,,90,,,,,,,,44935,44932,,44907
KC,2023-01-05,32734-01,M,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,DCT-TVA::Brafca/ca;Pik3caTg/Tg;TDT+/+;Tyr+/+,2022-11-25,2023-01-05,"Large tumor goriwng toward back of head, frantically moving; Upon necropsy, the tumor appears to have grown in and around the skull, almost engulfing the skull. The brain was small and the cerebellum was not present attached to the brain but looks like it was part of the tumor, some small lung nodules present",,,,,RCAS Cre GP (11/24/22),,,Yes,2023-01-04,,"Brain, Lung, Liver, Tumor",No,Yes,,,,,41,,,,,,,,44931,44931,,44930
CM,2022-12-28,32151-03,M,GFP,GFP,2022-10-08,2022-12-28,"Scruffy, tumor is larger than 2,000mm^3; This mouse is among the Paxalisib treated group at 10mg/kg",,,,,,,,Yes,2022-12-12,,"Brain, Lung, Heart, Liver, Tumor",No,Yes,,,,,81,,,,,,,,44923,44923,,44907
CM,2022-12-22,32159-10,F,GFP,GFP,2022-10-10,2022-12-21,"Scruffy, lost more than 20% of starting weight, medium sized tumor",,,,,,,,Yes,2022-12-12,,"Brain, Lung, Heart, Liver, Tumor",No,Yes,,,,,72,,,,,,,,44917,44916,,44907
KC,2022-12-16,31985-00 (bl),F,Purple,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-23,2022-12-16,"head bugle, gasping, not moving, weight loss; Brain appeared normal. Due to gasping, necropsy of internal organs was done. Lungs appeared normal but intestines and stomach were air filled",,,,,RCAS CRE + RCAS-IDH1R132H+ RCAS-PDGFA 09/23/22 AG,,,No,,,Brain,No,Yes,,,,,84,,,,,,,,44911,44911,,
CM,2022-11-28,31590-00,M,GFP,GFP,2022-08-26,2022-11-28,"Healthy; This mouse was sac'd at the end of an MTD experiment - Paxalisib (10mg/mL), Encorafenib (20mg/mL), Binimetinib (25mg/mL) - 1 dose per day. A cardiac puncture was performed to collect blood.",,,,,,,,No,,,"Brain, Lung, Heart, Liver, Spleen",No,Yes,,,,,94,,,,,,,,44893,44893,,
CM,2022-11-28,31591-01,M,GFP,GFP,2022-08-26,2022-11-28,"Healthy; This mouse was sac'd at the end of an MTD experiment - Paxalisib (10mg/mL), Encorafenib (20mg/mL), Binimetinib (25mg/mL) - 1 dose per day. A cardiac puncture was performed to collect blood.",,,,,,,,No,,,"Brain, Lung, Heart, Liver, Spleen",No,Yes,,,,,94,,,,,,,,44893,44893,,
CM,2022-11-28,31763-00,F,DCT-TVA,DCT-TVA,2022-09-09,2022-11-28,"Healthy; This mouse was sac'd at the end of an MTD experiment - Paxalisib (10mg/mL), Encorafenib (20mg/mL), Binimetinib (25mg/mL) - 1 dose per day. A cardiac puncture was performed to collect blood.",,,,,,,,No,,,"Brain, Lung, Heart, Liver, Spleen",No,Yes,,,,,80,,,,,,,,44893,44893,,
CM,2022-11-28,31764-01,F,DCT-TVA,DCT-TVA,2022-09-09,2022-11-28,"Healthy; This mouse was sac'd at the end of an MTD experiment - Paxalisib (10mg/mL), Encorafenib (20mg/mL), Binimetinib (25mg/mL) - 1 dose per day. A cardiac puncture was performed to collect blood.",,,,,,,,No,,,"Brain, Lung, Heart, Liver, Spleen",No,Yes,,,,,80,,,,,,,,44893,44893,,
CM,2022-11-28,32016-01,M,DCT-TVA,DCT-TVA,2022-09-27,2022-11-18,"Healthy; This mouse was sac'd at the end of an MTD experiment - Paxalisib (10mg/mL), Encorafenib (20mg/mL), Binimetinib (25mg/mL) - 1 dose per day. A cardiac puncture was performed to collect blood.",,,,,,,,No,,,"Brain, Lung, Heart, Liver, Spleen",No,Yes,,,,,52,,,,,,,,44893,44883,,
AG,2022-11-28,32026-01,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2022-09-27,2022-11-28,"Scruffy, head bulge, not opening eyes,hunched back,lethargic; Frail skull,Mushy, Big brain, discolration overall",,,,2022-09-28,RCAS -CRE,RCAS-IDH1R132H,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-22-32026,,,,62,,,,,Yes,Intracranial,,44893,44893,44832,
CM,2022-11-28,32077-11,M,DCT-TVA,DCT-TVA,2022-10-01,2022-11-18,"Healthy; This mouse was sac'd at the end of an MTD experiment - Paxalisib (10mg/mL), Encorafenib (20mg/mL), Binimetinib (25mg/mL) - 1 dose per day. A cardiac puncture was performed to collect blood.",,,,,,,,No,,,"Brain, Lung, Heart, Liver, Spleen",No,Yes,,,,,48,,,,,,,,44893,44883,,
