vector_number,vector_name,vector_name_clean,filename
0117,RCANBP(A) tvb 889,RCANBP(A) tvb 889,0117-RCANBP(A) tvb 889.dna
0118,RCANBP(A) tvb 1121,RCANBP(A) tvb 1121,0118-RCANBP(A) tvb 1121.dna
0119,pTRE2hyg,pTRE2hyg,0119-pTRE2hyg.dna
0120,pCR8 GW TOPO NRas,pCR8 GW TOPO NRas,0120-pCR8 GW TOPO NRas.dna
0121,RCASBP(A) NRas wt,RCASBP(A) NRas wt,0121-RCASBP(A) NRas wt.dna
0122,RCASBP(M) NRas wt,RCASBP(M) NRas wt,0122-RCASBP(M) NRas wt.dna
0123,pCR8 GW TOPO NRas QC V12 (T >G) mp#5,pCR8 GW TOPO NRas QC V12 (T G) mp#5,0123-pCR8 GW TOPO NRas QC V12 (T G) mp#5.dna
0124,RCANBP(A) TRE Akt HA,RCANBP(A) TRE Akt HA,0124-RCANBP(A) TRE Akt HA.dna
0125,RCASBP(A) NRas V12,RCASBP(A) NRas V12,0125-RCASBP(A) NRas V12.dna
0126,RCASBP(M) NRas V12,RCASBP(M) NRas V12,0126-RCASBP(M) NRas V12.dna
0127,pDEST R4 R3 TK (from Matt Edick),pDEST R4 R3 TK (from Matt Edick),0127-pDEST R4 R3 TK (from Matt Edick).dna
0128,RCANBP(A) H1shGFP,RCANBP(A) H1shGFP,0128-RCANBP(A) H1shGFP.dna
0129,RCANBP(A) mU6shGFP,RCANBP(A) mU6shGFP,0129-RCANBP(A) mU6shGFP.dna
0130,RCASBP(A) HRas,RCASBP(A) HRas,0130-RCASBP(A) HRas.dna
0131,RCANBP(A) cU6 2shGFP,RCANBP(A) cU6 2shGFP,0131-RCANBP(A) cU6 2shGFP.dna
0132,RCAS c myc (same as #2 in DB),RCAS c myc (same as #2 in DB),0132-RCAS c myc (same as #2 in DB).dna
0133,pENTR3C cU6 2 chicken GAPDH,pENTR3C cU6 2 chicken GAPDH,0133-pENTR3C cU6 2 chicken GAPDH.dna
0134,pENTR3C H1 chicken GAPDH mp DNA from Jen White,pENTR3C H1 chicken GAPDH mp DNA from Jen White,0134-pENTR3C H1 chicken GAPDH mp DNA from Jen White.dna
0135,RCANBP(A) cU6 2chickenGAPDH shGFP,RCANBP(A) cU6 2chickenGAPDH shGFP,0135-RCANBP(A) cU6 2chickenGAPDH shGFP.dna
0136,pENTR3C TRE Akt HA mp DNA,pENTR3C TRE Akt HA mp DNA,0136-pENTR3C TRE Akt HA mp DNA.dna
0137,RCANBP(A) H1chickenshGAPDH,RCANBP(A) H1chickenshGAPDH,0137-RCANBP(A) H1chickenshGAPDH.dna
0138,pENTR3c TRE2BMF,pENTR3c TRE2BMF,0138-pENTR3c TRE2BMF.dna
0139,pENTR3c TRE2BMF L138A,pENTR3c TRE2BMF L138A,0139-pENTR3c TRE2BMF L138A.dna
0140,pENTR3c TRE2BIK,pENTR3c TRE2BIK,0140-pENTR3c TRE2BIK.dna
0141,RCANBP(M) TRE BMF clone#1,RCANBP(M) TRE BMF clone#1,0141-RCANBP(M) TRE BMF clone#1.dna
0142,RCANBP(M) TRE BMFL138A clone#1,RCANBP(M) TRE BMFL138A clone#1,0142-RCANBP(M) TRE BMFL138A clone#1.dna
0143,RCANBP(M) TRE Bik clone#3,RCANBP(M) TRE Bik clone#3,0143-RCANBP(M) TRE Bik clone#3.dna
0144,pENTR3C KRas mp#3,pENTR3C KRas mp#3,0144-pENTR3C KRas mp#3.dna
0145,pENTR3C Akt mp#2,pENTR3C Akt mp#2,0145-pENTR3C Akt mp#2.dna
0146,RCASBP(M)FLAG Kras,RCASBP(M)FLAG Kras,0146-RCASBP(M)FLAG Kras.dna
0147,RCASBP(M) Akt,RCASBP(M) Akt,0147-RCASBP(M) Akt.dna
0148,pTet On (From MVB),pTet On (From MVB),0148-pTet On (From MVB).dna
0149,pENTR3c myc,pENTR3c myc,0149-pENTR3c myc.dna
0150,RCASBP(M) myc (mini prep),RCASBP(M) myc (mini prep),0150-RCASBP(M) myc (mini prep).dna
0151,RCASBP(M) myc.1 maxiprep,RCASBP(M) myc.1 maxiprep,0151-RCASBP(M) myc.1 maxiprep.dna
0152,pENTR3c iresPURO,pENTR3c iresPURO,0152-pENTR3c iresPURO.dna
0153,pENTR3c rtTA iresPURO,pENTR3c rtTA iresPURO,0153-pENTR3c rtTA iresPURO.dna
0154,pENTR3C shGFP #1 2/4/06,pENTR3C shGFP #1 2406,0154-pENTR3C shGFP #1 2406.dna
0155,pENTR3C H1 shGFP #1 7/25/05,pENTR3C H1 shGFP #1 72505,0155-pENTR3C H1 shGFP #1 72505.dna
0156,RCASBP(M) rtTA IRES PURO clone #2,RCASBP(M) rtTA IRES PURO clone #2,0156-RCASBP(M) rtTA IRES PURO clone #2.dna
0157,RCASBP(A) H1shGFP,RCASBP(A) H1shGFP,0157-RCASBP(A) H1shGFP.dna
0158,RCASBP(A) shGFP,RCASBP(A) shGFP,0158-RCASBP(A) shGFP.dna
0159,pTRE2Hygro BMF,pTRE2Hygro BMF,0159-pTRE2Hygro BMF.dna
0160,pTRE2Hygro BMFL138A,pTRE2Hygro BMFL138A,0160-pTRE2Hygro BMFL138A.dna
0161,pTRE2Hygro Bik,pTRE2Hygro Bik,0161-pTRE2Hygro Bik.dna
0162,pTRE2Hygro BikL61G,pTRE2Hygro BikL61G,0162-pTRE2Hygro BikL61G.dna
0163,pBluescript EGFRvIII  #1,pBluescript EGFRvIII  #1,0163-pBluescript EGFRvIII  #1.dna
0164,pBluescript EGFRvIII  #1 4/19/06 maxi,pBluescript EGFRvIII  #1 41906 maxi,0164-pBluescript EGFRvIII  #1 41906 maxi.dna
0165,pENTR3c EGFRvIII clone 10,pENTR3c EGFRvIII clone 10,0165-pENTR3c EGFRvIII clone 10.dna
0166,RCASBP(M)EGFR*,RCASBP(M)EGFR,0166-RCASBP(M)EGFR.dna
0167,pENTR3C-Tre-mirnoleader,pENTR3C-Tre-mirnoleader,0167-pENTR3C-Tre-mirnoleader.dna
0168,pENTR3c TRE_EGFRvIII clone3,pENTR3c TRE_EGFRvIII clone3,0168-pENTR3c TRE_EGFRvIII clone3.dna
0169,pENTR3c TRE EGFRvIII clone5,pENTR3c TRE EGFRvIII clone5,0169-pENTR3c TRE EGFRvIII clone5.dna
0170,pENTR3cmir no prom no leader,pENTR3cmir no prom no leader,0170-pENTR3cmir no prom no leader.dna
0171,pENTR3c RAV2 112,pENTR3c RAV2 112,0171-pENTR3c RAV2 112.dna
0172,pENTR3c RAV2 214,pENTR3c RAV2 214,0172-pENTR3c RAV2 214.dna
0173,pENTR3c RAV2 408,pENTR3c RAV2 408,0173-pENTR3c RAV2 408.dna
0174,pENTR3c RAV2 510,pENTR3c RAV2 510,0174-pENTR3c RAV2 510.dna
0175,pENTR3c RAV2 854,pENTR3c RAV2 854,0175-pENTR3c RAV2 854.dna
0176,RCAS mir 112,RCAS mir 112,0176-RCAS mir 112.dna
0177,RCAS mir 214,RCAS mir 214,0177-RCAS mir 214.dna
0178,RCAS mir 408,RCAS mir 408,0178-RCAS mir 408.dna
0179,RCAS mir 510,RCAS mir 510,0179-RCAS mir 510.dna
0180,RCAS mir 854,RCAS mir 854,0180-RCAS mir 854.dna
0181,DASBP egfp,DASBP egfp,0181-DASBP egfp.dna
0182,DANBP cmv gfp,DANBP cmv gfp,0182-DANBP cmv gfp.dna
0183,DASBR,DASBR,0183-DASBR.dna
0184,DANBP,DANBP,0184-DANBP.dna
0185,penv(A),penv(A),0185-penv(A).dna
0186,DASBPLANC,DASBPLANC,0186-DASBPLANC.dna
0187,RCANBP?F1`,RCANBPF1`,0187-RCANBPF1`.dna
0188,RCASBP?F1`,RCASBPF1`,0188-RCASBPF1`.dna
0189,pBK7 6 2,pBK7 6 2,0189-pBK7 6 2.dna
0190,pDsRed 2.1,pDsRed 2.1,0190-pDsRed 2.1.dna
0191,RCASBP(A) EGFP cmir30/luc1309,RCASBP(A) EGFP cmir30luc1309,0191-RCASBP(A) EGFP cmir30luc1309.dna
0192,RCASBP(A) EGFP cmir30/EGFP,RCASBP(A) EGFP cmir30EGFP,0192-RCASBP(A) EGFP cmir30EGFP.dna
0193,FG12 cmv,FG12 cmv,0193-FG12 cmv.dna
0194,pDest FG12 cmv,pDest FG12 cmv,0194-pDest FG12 cmv.dna
0195,FG12 cmv mir510,FG12 cmv mir510,0195-FG12 cmv mir510.dna
0196,FG12 cmv Jdcont,FG12 cmv Jdcont,0196-FG12 cmv Jdcont.dna
0197,pEntr Braf(V600E)/V5 HisA,pEntr Braf(V600E)V5 HisA,0197-pEntr Braf(V600E)V5 HisA.dna
0198,RAP,RAP,0198-RAP.dna
0199,MESD,MESD,0199-MESD.dna
0200,wt Lrp5 Myc,wt Lrp5 Myc,0200-wt Lrp5 Myc.dna
0201,Lrp5 D11Y,Lrp5 D11Y,0201-Lrp5 D11Y.dna
0202,Lrp5 G171R,Lrp5 G171R,0202-Lrp5 G171R.dna
0203,Lrp5 G171V,Lrp5 G171V,0203-Lrp5 G171V.dna
0204,Lrp5 A214T,Lrp5 A214T,0204-Lrp5 A214T.dna
0205,Lrp5 A214V,Lrp5 A214V,0205-Lrp5 A214V.dna
0206,Lrp5 A242T,Lrp5 A242T,0206-Lrp5 A242T.dna
0207,Lrp5 T253I,Lrp5 T253I,0207-Lrp5 T253I.dna
0208,RCASBP(A)Tet On,RCASBP(A)Tet On,0208-RCASBP(A)Tet On.dna
0209,RCASBP(A)Tet On IRES Puro,RCASBP(A)Tet On IRES Puro,0209-RCASBP(A)Tet On IRES Puro.dna
0210,RCASBP(A)Tet On IRES GFP,RCASBP(A)Tet On IRES GFP,0210-RCASBP(A)Tet On IRES GFP.dna
0211,RCANBP(A) TRE KRAS FLAG,RCANBP(A) TRE KRAS FLAG,0211-RCANBP(A) TRE KRAS FLAG.dna
0212,RCANBP(A) DV,RCANBP(A) DV,0212-RCANBP(A) DV.dna
0213,pENTR3C TRE KRAS FLAG,pENTR3C TRE KRAS FLAG,0213-pENTR3C TRE KRAS FLAG.dna
0214,pENTR TRE,pENTR TRE,0214-pENTR TRE.dna
0215,FG12 CMV RSK K94/447R,FG12 CMV RSK K94447R,0215-FG12 CMV RSK K94447R.dna
0216,pCR8/GW/TOPO Mek_GF V5 clone#1,pCR8GWTOPO Mek_GF V5 clone#1,0216-pCR8GWTOPO Mek_GF V5 clone#1.dna
0217,RCAS DV (A) c Kit,RCAS DV (A) c Kit,0217-RCAS DV (A) c Kit.dna
0218,RCASBP DV (A) c Kit HA,RCASBP DV (A) c Kit HA,0218-RCASBP DV (A) c Kit HA.dna
0219,RCAS DV (A) AKT3,RCAS DV (A) AKT3,0219-RCAS DV (A) AKT3.dna
0220,RCASBP DV (A) Myr AKT3,RCASBP DV (A) Myr AKT3,0220-RCASBP DV (A) Myr AKT3.dna
0221,RCAS DV (A) BRAF (MIKL),RCAS DV (A) BRAF (MIKL),0221-RCAS DV (A) BRAF (MIKL).dna
0222,RCAS DV (A) BRAF (MIKL) VE,RCAS DV (A) BRAF (MIKL) VE,0222-RCAS DV (A) BRAF (MIKL) VE.dna
0223,RCAS DV (A) HGF Xpress,RCAS DV (A) HGF Xpress,0223-RCAS DV (A) HGF Xpress.dna
0224,RCAS DV (A) Nras (HA) IRES GFP,RCAS DV (A) Nras (HA) IRES GFP,0224-RCAS DV (A) Nras (HA) IRES GFP.dna
0225,RCAN DV (A) TRE NRas IRES GFP,RCAN DV (A) TRE NRas IRES GFP,0225-RCAN DV (A) TRE NRas IRES GFP.dna
0226,RCAS DV (A) XIAP,RCAS DV (A) XIAP,0226-RCAS DV (A) XIAP.dna
0227,RCAS BP (M) XIAP V5,RCAS BP (M) XIAP V5,0227-RCAS BP (M) XIAP V5.dna
0228,RCAS DV (A) ATX (autotaxin),RCAS DV (A) ATX (autotaxin),0228-RCAS DV (A) ATX (autotaxin).dna
0229,RCAS DV (A) ATX HA,RCAS DV (A) ATX HA,0229-RCAS DV (A) ATX HA.dna
0230,pENTR 3C Bcl 2 HA,pENTR 3C Bcl 2 HA,0230-pENTR 3C Bcl 2 HA.dna
0231,pENTR 3C Bcl xL HA,pENTR 3C Bcl xL HA,0231-pENTR 3C Bcl xL HA.dna
0232,pENTR 3C Bfl 1 HA,pENTR 3C Bfl 1 HA,0232-pENTR 3C Bfl 1 HA.dna
0233,pENTR 3C Mcl 1 HA,pENTR 3C Mcl 1 HA,0233-pENTR 3C Mcl 1 HA.dna
0234,pENTR 3C Bim V5,pENTR 3C Bim V5,0234-pENTR 3C Bim V5.dna
0235,pENTR 3C Bmf V5,pENTR 3C Bmf V5,0235-pENTR 3C Bmf V5.dna
0236,pENTR 3C Bmf L138A V5,pENTR 3C Bmf L138A V5,0236-pENTR 3C Bmf L138A V5.dna
0237,pCR8 AKT3,pCR8 AKT3,0237-pCR8 AKT3.dna
0238,pCR8 c Kit,pCR8 c Kit,0238-pCR8 c Kit.dna
0239,pCR8 c Kit HA,pCR8 c Kit HA,0239-pCR8 c Kit HA.dna
0240,pCR8 Myr AKT3,pCR8 Myr AKT3,0240-pCR8 Myr AKT3.dna
0241,pENTR/D BRAF (MIKL),pENTRD BRAF (MIKL),0241-pENTRD BRAF (MIKL).dna
0242,pENTR/D BRAF (MIKL) VE,pENTRD BRAF (MIKL) VE,0242-pENTRD BRAF (MIKL) VE.dna
0243,RCAS DV (A) Nras(Q61R) IRES CRE,RCAS DV (A) Nras(Q61R) IRES CRE,0243-RCAS DV (A) Nras(Q61R) IRES CRE.dna
0244,RCAS DV (A) Bfl 1 HA,RCAS DV (A) Bfl 1 HA,0244-RCAS DV (A) Bfl 1 HA.dna
0245,RCAS DV (A) Bcl 2 HA,RCAS DV (A) Bcl 2 HA,0245-RCAS DV (A) Bcl 2 HA.dna
0246,RCAS DV (A) Bcl xL HA,RCAS DV (A) Bcl xL HA,0246-RCAS DV (A) Bcl xL HA.dna
0247,RCAS DV (A) Mcl 1 HA,RCAS DV (A) Mcl 1 HA,0247-RCAS DV (A) Mcl 1 HA.dna
0248,pENTR 3C TRE Nras IRES AKT,pENTR 3C TRE Nras IRES AKT,0248-pENTR 3C TRE Nras IRES AKT.dna
0249,pENTR 3C Kras (FLAG),pENTR 3C Kras (FLAG),0249-pENTR 3C Kras (FLAG).dna
0250,pENTR 3C TRE Kras IRES AKT,pENTR 3C TRE Kras IRES AKT,0250-pENTR 3C TRE Kras IRES AKT.dna
0251,FG12 CMV DYNLL1,FG12 CMV DYNLL1,0251-FG12 CMV DYNLL1.dna
0252,FG12 CMV DYNLL2,FG12 CMV DYNLL2,0252-FG12 CMV DYNLL2.dna
0253,pCR8 DYNLL1,pCR8 DYNLL1,0253-pCR8 DYNLL1.dna
0254,pCR8 DYNLL2,pCR8 DYNLL2,0254-pCR8 DYNLL2.dna
0255,pCR8 AKT1 with Sal/Spe sites on ends,pCR8 AKT1 with SalSpe sites on ends,0255-pCR8 AKT1 with SalSpe sites on ends.dna
0256,RCAN (X) DV TRE Kras IRES AKT,RCAN (X) DV TRE Kras IRES AKT,0256-RCAN (X) DV TRE Kras IRES AKT.dna
0257,pDEST R4 R3 (from Dong),pDEST R4 R3 (from Dong),0257-pDEST R4 R3 (from Dong).dna
0258,pDEST R4 R3 TK (from Dong),pDEST R4 R3 TK (from Dong),0258-pDEST R4 R3 TK (from Dong).dna
0259,pDEST FG12 CMV cMET #3,pDEST FG12 CMV cMET #3,0259-pDEST FG12 CMV cMET #3.dna
0260,pDEST FG12 CMV cMET #7,pDEST FG12 CMV cMET #7,0260-pDEST FG12 CMV cMET #7.dna
0261,pDEST FG12 CMV cMET #11,pDEST FG12 CMV cMET #11,0261-pDEST FG12 CMV cMET #11.dna
0262,pBluescript SK   RFA rc #7,pBluescript SK   RFA rc #7,0262-pBluescript SK   RFA rc #7.dna
0263,pBluescript SK   RFA #1,pBluescript SK   RFA #1,0263-pBluescript SK   RFA #1.dna
0264,pENTR3C 2LoxP miR 590 FRT NEO #3,pENTR3C 2LoxP miR 590 FRT NEO #3,0264-pENTR3C 2LoxP miR 590 FRT NEO #3.dna
0265,pDONR P2R P3 3' homology #57 miR 590,pDONR P2R P3 3' homology #57 miR 590,0265-pDONR P2R P3 3' homology #57 miR 590.dna
0266,pDONR P2R P3 3' homology #78 miR 590,pDONR P2R P3 3' homology #78 miR 590,0266-pDONR P2R P3 3' homology #78 miR 590.dna
